[-3.2, -3.2, 0.0]
[-5.4, -1.2000000000000002, 2.0]
[-4.6000000000000005, -2.4000000000000004, 3.0]
[-3.8000000000000007, -3.6000000000000005, 4.0]
[-6.000000000000001, -6.6000000000000005, 3.0]
[-6.200000000000001, -2.6000000000000005, 5.0]
[-5.400000000000001, -3.8000000000000007, 6.0]
[-3.4000000000000012, -6.800000000000001, 6.0]
[-4.600000000000001, -6.000000000000001, 7.0]
[-6.800000000000002, -4.000000000000001, 7.0]
[-4.800000000000002, -7.000000000000001, 7.0]
[-7.000000000000002, -8.0, 7.0]
[-7.200000000000002, -4.0, 9.0]
[-5.200000000000002, -7.0, 9.0]
[-7.400000000000002, -5.0, 9.0]
[-5.400000000000002, -8.0, 9.0]
[-7.600000000000002, -6.0, 9.0]
[-5.600000000000002, -4.0, 10.0]
[-5.600000000000002, -4.0, 10.0]
